iso3,year,gdp_pc,gdp_growth,trade_openness,resource_rents,urbanization,military_spending
MAC,1996,33543.2536281767,-0.419861406496466,122.344072480498,0.00272245739392018,99.9325876536988,
MAC,1997,33273.3263570517,-0.278986192547762,123.265644140025,0.0024700951416263,99.9534353925978,
MAC,1998,31376.4225649646,-4.57110341884395,124.887979200089,0.00206941045661232,99.9715700365331,
MAC,1999,30270.8085696141,-2.35859213250518,132.256708202737,0.00114701339124268,99.9860147432315,
MAC,2000,31772.6302531656,5.74714593475937,147.76978681921,0.00109989412783637,99.9957926704194,
MAC,2001,32441.6760183581,2.88824010651439,150.023588329221,0.0012515633431334,99.9998984128371,
MAC,2002,34967.8914561813,8.90480904902596,152.382640999662,0.00129294906675416,100.0,
MAC,2003,38581.6976189322,11.6433551416587,150.78839554326,0.00166554584265641,100.0,
MAC,2004,47665.9330386643,26.6368742306114,148.903750204961,0.00142006573846366,100.0,
MAC,2005,49470.940295748,8.07794929953978,136.372221937073,0.000813289697051987,100.0,
MAC,2006,53240.2045750276,13.3921711919351,128.785689078596,0.000762848827837186,100.0,
MAC,2007,58376.1176047275,14.4817728129028,130.670598794717,0.000914438870209263,100.0,
MAC,2008,58146.3285846714,3.39251560752048,126.607131209269,0.00134690575890845,100.0,
MAC,2009,59528.8350159491,1.29837946885112,113.55459255005,0.00122316242318777,100.0,
MAC,2010,74195.0577762344,25.1031075246958,119.938411439898,0.000905336110860392,100.0,
MAC,2011,88168.9713699088,21.6223064381087,122.886868700544,0.000918692177244038,100.0,
MAC,2012,93192.885853941,9.21747479596735,123.711349167944,0.000637773144866662,100.0,
MAC,2013,99054.4980289716,10.7816711590297,121.375076167887,0.0005215709086089,100.0,
MAC,2014,92383.8434915276,-2.03874227961819,118.580835443557,0.000707754579992928,100.0,
MAC,2015,69902.9605741233,-21.7540078753246,119.250436813256,0.000676701941454292,100.0,
MAC,2016,68391.3415491921,-0.701510212552961,112.890232741859,0.000766339291005204,100.0,
MAC,2017,75650.1261840452,9.91855844513513,115.454662557842,0.000816577243915305,100.0,
MAC,2018,79178.6506290559,6.35917030567686,116.568676845013,0.000378495372010862,100.0,
MAC,2019,75724.6078280261,-2.4609094006739,115.23129893555,0.000345302748769397,100.0,
MAC,2020,33853.7761550109,-54.4020925789353,123.43437444297,0.00092361911978552,100.0,
MAC,2021,41634.2386139903,22.4622020023362,171.31597082054,0.000724556273813068,100.0,
MAC,2022,34000.7134128308,-18.956941494497,170.368049338506,,100.0,
MAC,2023,59474.3964251614,75.3084184293413,145.874467252327,,100.0,
MAC,2024,63377.2932129214,7.84960207010525,142.07943455076,,100.0,
MAF,1970,,,,,100.0,
MAF,1971,,,,,100.0,
MAF,1972,,,,,100.0,
MAF,1973,,,,,100.0,
MAF,1974,,,,,100.0,
MAF,1975,,,,,100.0,
MAF,1976,,,,,100.0,
MAF,1977,,,,,100.0,
MAF,1978,,,,,100.0,
MAF,1979,,,,,100.0,
MAF,1980,,,,,100.0,
MAF,1981,,,,,100.0,
MAF,1982,,,,,100.0,
MAF,1983,,,,,100.0,
MAF,1984,,,,,100.0,
MAF,1985,,,,,100.0,
MAF,1986,,,,,100.0,
MAF,1987,,,,,100.0,
MAF,1988,,,,,100.0,
MAF,1989,,,,,100.0,
MAF,1990,,,,,100.0,
MAF,1991,,,,,100.0,
MAF,1992,,,,,100.0,
MAF,1993,,,,,100.0,
MAF,1994,,,,,100.0,
MAF,1995,,,,,100.0,
MAF,1996,,,,,100.0,
MAF,1997,,,,,100.0,
MAF,1998,,,,,100.0,
MAF,1999,,,,,100.0,
MAF,2000,,,,,100.0,
MAF,2001,,,,,100.0,
MAF,2002,,,,,100.0,
MAF,2003,,,,,100.0,
MAF,2004,,,,,100.0,
MAF,2005,,,,,100.0,
MAF,2006,,,,,100.0,
MAF,2007,,,,,100.0,
MAF,2008,,,,,100.0,
MAF,2009,,,,,100.0,
MAF,2010,,,,,100.0,
MAF,2011,,,,0.0,100.0,
MAF,2012,,,,,100.0,
MAF,2013,,,,,100.0,
MAF,2014,,,,0.0,100.0,
MAF,2015,,1.0,,,100.0,
MAF,2016,,5.0,,,100.0,
MAF,2017,,-8.00000324038295,,,100.0,
MAF,2018,,-7.99999506898229,,,100.0,
MAF,2019,,6.50000363700821,,,100.0,
MAF,2020,,-12.500002246731,,,100.0,
MAF,2021,,4.89999967133534,,,100.0,
MAF,2022,,,,,100.0,
MAF,2023,,,,,100.0,
MAF,2024,,,,,100.0,
MAR,1970,1039.61254882813,4.71346037515517,39.216322860996,0.902171273718059,34.4887466430664,2.31600617601647
MAR,1971,1069.3251953125,5.5968936595313,36.6792418526431,0.756906780709029,35.0033377908801,2.62862488306829
MAR,1972,1068.21313476563,2.43723734665467,37.7969586635254,0.466329246675409,35.6988716125488,2.84391534391534
MAR,1973,1079.19360351563,3.55931083241548,42.9427367764082,0.82759336728461,36.3242568969727,3.06179775280899
MAR,1974,1112.03527832031,5.59604994440339,55.7492546213476,10.4614508960443,36.9608497619629,3.14583333333333
MAR,1975,1167.787109375,7.55822156113805,55.818845953146,8.01134785240663,37.6102561950684,4.60291288815609
