indicator,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
v2x_suffr,-0.2822917193942308,2.301204893303167,1.8605460273075936,2.962923748116984,2.4991673073924705,2.4304061007013558,-1.3672917098379718,-0.004226854418914808,0.5080113581291129,-0.684097223763644,0.10199893789666196,0.26888262779044747,0.137184053530392,-0.621110891342535,0.37995095253181743
v2x_jucon,-1.0068493128629132,-0.7528313664142577,-0.7352447251594645,0.30104591263161395,1.4525027066443865,0.6793903462606944,2.179160729623943,1.1714462055940904,0.04906934217378836,0.40069084616836165,-0.24519517602223934,-2.3268096973494563,-1.5973522114649659,-1.7389730609864742,0.6814111896443833
v2x_cspart,-1.0242691527722583,0.440175274783918,-0.8821981666411475,-0.28982858582974963,1.5304943364998653,-1.1343870355844574,0.05975095520469751,-1.3442748671887923,-0.6786277106429399,-0.28831004748582295,-0.6429883220694188,2.511998648607079,-0.5523548688805496,-3.3128114246358145,-0.7895191335030823
v2x_mpi,-1.0700147764194854,-0.1293398041873761,-0.1417793837159537,1.1413273253813,-1.0779454476283385,-1.1723517040412705,-1.175109622315724,0.339057833819931,0.48212402110862396,0.9701176244801896,-0.06704863659209051,-0.9071298900588872,0.5068625221270694,-0.8190723920560874,0.46234853508752527
v2x_gender,-1.0002464967683846,0.4639274284477876,1.8903796039049623,-1.3877824070412816,0.539797651338898,-0.593120372134764,0.32913086523277396,-0.30572382051091385,-0.24934985521151673,0.6735113222753893,-0.03436344743449125,-0.3806314148226751,0.753651882696479,0.08298743892286746,0.06774809521724198
v2x_gencl,-1.0188267191985358,0.27236856298726336,0.5665812623463518,-1.6645859160314003,0.20246652794531636,1.0612372281661142,-0.9658514431106487,-0.4249008412712417,-2.2928763761828157,0.4926485476248661,-1.7310744866960488,-0.9218090062113868,1.5781375256628671,0.14050500486012474,0.6199040350343694
v2x_gencs,-0.9441627626285001,0.5730864881348542,1.4551326240470097,-1.6584758421821588,0.8404141188784623,-0.2965004474693787,0.026333865876281806,-1.2241122740835644,0.25940726689597005,1.7964308446282726,4.308768185660109,-0.48818348817107365,0.22563237854929583,-0.4079192711333021,0.0360305719648713
v2x_genpp,-0.7206162484419021,0.47332870188495185,3.271189263583171,-0.26728902084517114,0.5149297642210456,-2.447749096538844,1.9621278786536716,0.6325103582124985,1.86911708695952,-0.39029833254602236,-2.0688820868984035,0.3289875769715609,0.05158589597276515,0.5083730093269461,-0.5362129736263401
v2x_elecoff,-0.6802112288939566,2.0264159884909256,0.7244760294222166,0.21347101948152541,-3.4946059056434238,1.5550550911687455,2.7309660869263115,-0.43081342039716386,-1.2031463332335335,-0.40374269554327347,0.39675920439551016,1.119174086276336,-0.48482465860124657,-1.009488763855123,0.7841361562057266
v2x_EDcomp_thick,-1.0835123546149366,0.6003708575511899,0.062494341630042034,0.9223172677369832,-1.1403137055837007,0.0842156575474988,-0.22429848777434414,0.04696274371550599,0.4658490304306224,0.2797246590082865,0.12635181092689418,-0.9383547690130589,0.13430205915153362,-0.12766446426209105,-0.39479710640144333
v2x_api,-1.082285347243258,0.9146230287627298,-0.2867092907234513,0.3071886726415196,-0.4970314430324407,0.5284922548215236,0.14082495397324302,-0.1324826090048299,0.5332884774011749,0.05602542603520257,0.047457733659403104,0.023232060087046844,-0.30830457283743934,0.7198890578767512,-0.5401887046484488
v2x_diagacc,-1.0748021233507545,0.5285167093105814,-1.0044718822323002,-0.5327042609938372,0.24877042892594708,-0.18069822260371815,-0.255783119950122,-0.23240839544525552,0.49153901178661596,0.44025624050410744,-0.2703298716958493,1.673093163027379,-0.48473360664791154,-0.0667103046117421,0.6127870881774594
v2x_horacc,-1.0193680124062725,-0.5322097915783318,-0.729015751689511,0.7834938978273513,1.2762340187483483,-0.17095583070736636,1.395820252952257,1.8928879927161706,-1.4242376451931136,0.4184284945581505,1.0938964385908272,1.8404484306421032,1.8363731490304884,1.7016418766707884,-0.3854143050031706
v2x_veracc,-1.0728911858723518,0.6159680117211944,-0.14730117344660548,0.7082798454477888,-0.5151828214089261,0.55382188423065,0.27095031566913874,0.05107617520001535,-0.07160149528852443,-0.6225827973595714,-0.06580108213066332,-0.4912031110495633,1.4810534969555864,1.1821613000653104,-2.2944661146545355
